id,description,en,en_CA,ru,es,fr
recoveryLinkMessageSent,Password recovery flow,💌Your password setup email is on its way! Check your inbox (or maybe your spam folder—it likes to hide).,💌Your password setup email is on its way! Check your inbox (or maybe your spam folder—it likes to hide).,💌Письмо для настройки пароля уже в пути! Проверьте входящие (или папку спам — оно любит там прятаться).,💌¡Tu correo para configurar la contraseña va en camino! Revisa tu bandeja de entrada (o quizá la carpeta de spam — le gusta esconderse).,💌Votre e-mail de configuration du mot de passe est en route ! Vérifiez votre boîte de réception (ou vos spams — il aime bien s’y cacher).
emailExistsTitle,Email exists dialog,Email already exists,Email already exists,Email уже существует,El correo ya existe,Cet e-mail existe déjà
emailExistsOkButton,Email exists dialog,"Yes, sign me in!","Yes, sign me in!","Да, войти!","¡Sí, iniciar sesión!","Oui, me connecter !"
emailExistsCancelButton,Email exists dialog,"No, I got this","No, I got this","Нет, я разберусь","No, yo me encargo","Non, je gère"
emailExistsBody,Email exists dialog,An account with {address} already exists. Would you like to log in instead?,An account with {address} already exists. Would you like to log in instead?,Аккаунт с {address} уже существует. Хотите войти?,Ya existe una cuenta con {address}. ¿Quieres iniciar sesión en su lugar?,Un compte avec {address} existe déjà. Voulez-vous plutôt vous connecter ?
sendResetLinkBody,Password recovery flow,Enter you email and we'll help you reset your password,Enter you email and we'll help you reset your password,Введите ваш email и мы поможем сбросить пароль,Escribe tu correo y te ayudaremos a restablecer tu contraseña,Saisissez votre e-mail et nous vous aiderons à réinitialiser votre mot de passe
userDisabled,Login error message,This account is disabled,This account is disabled,Этот аккаунт отключен,Esta cuenta está deshabilitada,Ce compte est désactivé
unknownError,Login error message,Unknown error occurred,Unknown error occurred,Произошла неизвестная ошибка,Ocurrió un error desconocido,Une erreur inconnue s’est produite
accountControl,Settings item,Account control,Account control,Управление аккаунтом,Control de la cuenta,Gestion du compte
leaveFeedback,Settings item,Leave feedback,Leave feedback,Оставить отзыв,Enviar comentarios,Donner votre avis
leaveFeedbackBody,Settings item,"Snap a screenshot, doodle your feelings, and drop us a note. You can roam the app while you're at it.

We love feedback. Every squiggle and comment helps us make the app better—for you and everyone else. So thanks. Seriously. {emoji}","Snap a screenshot, doodle your feelings, and drop us a note. You can roam the app while you're at it.

We love feedback. Every squiggle and comment helps us make the app better—for you and everyone else. So thanks. Seriously. {emoji}","Сделайте скриншот, нарисуйте свои впечатления и оставьте нам заметку. Вы можете продолжать пользоваться приложением.

Мы любим обратную связь. Каждый рисунок и комментарий помогает нам сделать приложение лучше — для вас и всех остальных. Так что спасибо. Серьезно. {emoji}","Toma una captura, garabatea lo que sientes y déjanos una nota. Puedes recorrer la app mientras tanto.

Nos encantan los comentarios. Cada garabato y nota nos ayuda a mejorar la app — para ti y para todos los demás. Así que gracias. En serio. {emoji}","Prenez une capture d’écran, gribouillez vos impressions et laissez-nous un mot. Vous pouvez continuer à naviguer dans l’app pendant ce temps.

On adore les retours. Chaque gribouillis et chaque commentaire nous aide à améliorer l’app — pour vous et pour tout le monde. Alors merci. Sincèrement. {emoji}"
feedbackReceived,Confirmation snack message,"Your feedback was received, thank you!","Your feedback was received, thank you!","Ваш отзыв получен, спасибо!","¡Recibimos tus comentarios, gracias!","Votre retour a bien été reçu, merci !"
toFeedback,Action button on a dialog,To feedback!,To feedback!,К отзыву!,¡A comentar!,C’est parti !
dangerZone,Settings header,Danger zone,Danger zone,Опасная зона,Zona de peligro,Zone de danger
deleteAccount,Settings item,Delete account,Delete account,Удалить аккаунт,Eliminar cuenta,Supprimer le compte
deleteAccountTitle,Delete account dialog,Are you sure you want to delete your account?,Are you sure you want to delete your account?,"Вы уверены, что хотите удалить свой аккаунт?",¿Seguro que quieres eliminar tu cuenta?,Voulez-vous vraiment supprimer votre compte ?
deleteAccountBody,Delete account dialog,"Your account is scheduled for deletion in {deadline} days. During this time, you can still sign in and reverse this decision. Once the deadline has passed, your account and personal data will be permanently deleted.","Your account is scheduled for deletion in {deadline} days. During this time, you can still sign in and reverse this decision. Once the deadline has passed, your account and personal data will be permanently deleted.",Ваш аккаунт запланирован на удаление через {deadline} дней. В течение этого времени вы все еще можете войти и отменить это решение. После истечения срока ваш аккаунт и личные данные будут удалены навсегда.,"Tu cuenta quedará programada para eliminarse en {deadline} días. Durante ese tiempo, aún puedes iniciar sesión y revertir esta decisión. Una vez pasado el plazo, tu cuenta y tus datos personales se eliminarán de forma permanente.","La suppression de votre compte est programmée dans {deadline} jours. D’ici là, vous pouvez toujours vous connecter et revenir sur votre décision. Une fois le délai passé, votre compte et vos données personnelles seront définitivement supprimés."
deleteAccountCancelMessage,Delete account dialog,"Oh no, I like it here!","Oh no, I like it here!","О нет, мне здесь нравится!","¡Ay no, me gusta estar aquí!","Oh non, je me plais ici !"
deleteAccountConfirmMessage,Delete account dialog,"Yep, go on without me!","Yep, go on without me!","Да, продолжайте без меня!","¡Sí, sigan sin mí!","Oui, continuez sans moi !"
confirmDeleteAccountTitle,Delete account dialog,Confirm your account deletion,Confirm your account deletion,Подтвердите удаление аккаунта,Confirma la eliminación de tu cuenta,Confirmez la suppression de votre compte
confirmDeleteAccountCancelMessage,Delete account dialog,"Changed my mind, cancel","Changed my mind, cancel","Передумал, отмена","Cambié de opinión, cancelar","J’ai changé d’avis, annuler"
confirmDeleteAccountOkMessage,Delete account dialog,Farewell!,Farewell!,Прощайте!,¡Adiós!,Adieu !
accountDeleted,Delete account page,Account deleted,Account deleted,Аккаунт удален,Cuenta eliminada,Compte supprimé
accountDeletedBody,Delete account page,"Your account has been scheduled for deletion on {date}.

If you change your mind, you can restore your account anytime before this date.

Simply click the button below to cancel the deletion and keep your account safe.","Your account has been scheduled for deletion on {date}.

If you change your mind, you can restore your account anytime before this date.

Simply click the button below to cancel the deletion and keep your account safe.","Ваш аккаунт запланирован на удаление {date}.

Если вы передумаете, вы можете восстановить свой аккаунт в любое время до этой даты.

Просто нажмите кнопку ниже, чтобы отменить удаление и сохранить ваш аккаунт.","Tu cuenta quedó programada para eliminarse el {date}.

Si cambias de opinión, puedes restaurarla en cualquier momento antes de esa fecha.

Solo toca el botón de abajo para cancelar la eliminación y conservar tu cuenta.","La suppression de votre compte est programmée pour le {date}.

Si vous changez d’avis, vous pouvez restaurer votre compte à tout moment avant cette date.

Appuyez simplement sur le bouton ci-dessous pour annuler la suppression et garder votre compte."
accountDeletedAction,Delete account page,🔥🏆 Undo the Goodbye 🥇🔥,🔥🏆 Undo the Goodbye 🥇🔥,🔥🏆 Отменить удаление 🥇🔥,🔥🏆 Deshacer la despedida 🥇🔥,🔥🏆 Annuler les adieux 🥇🔥
movement,Title of the movement filter sheet in the exercise library,Movement,Movement,Движение,Movimiento,Mouvement
pattern,"Movement filter section listing movement patterns, e.g. Horizontal Press",Pattern,Pattern,Паттерн,Patrón,Schéma
stability,Movement filter section for how constrained the movement path is,Stability,Stability,Стабильность,Estabilidad,Stabilité
skillAtMost,Movement filter section capping how technical an exercise may be,Skill at most,Skill at most,Сложность не выше,Técnica máxima,Technicité max
patternHelp,Help tooltip on the Pattern section of the movement filter sheet,"The movement itself — coarser than equipment, finer than body part. Exercises that share a pattern can stand in for one another.","The movement itself — coarser than equipment, finer than body part. Exercises that share a pattern can stand in for one another.","Само движение — шире, чем оборудование, и точнее, чем часть тела. Упражнения с общим паттерном взаимозаменяемы.","El movimiento en sí — más general que el equipo, más específico que la parte del cuerpo. Los ejercicios que comparten un patrón pueden sustituirse entre sí.","Le mouvement lui-même — plus large que le matériel, plus fin que le groupe musculaire. Les exercices qui partagent un schéma peuvent se remplacer l’un l’autre."
stabilityHelp,Help tooltip on the Stability section of the movement filter sheet,How much the equipment holds the path for you. Free means you balance the weight yourself; machine means the path is fixed.,How much the equipment holds the path for you. Free means you balance the weight yourself; machine means the path is fixed.,"Насколько траекторию задаёт оборудование. «Свободно» — вы балансируете вес сами, «тренажёр» — траектория закреплена.","Cuánto sostiene el equipo la trayectoria por ti. Libre significa que tú equilibras el peso; máquina, que la trayectoria es fija.",À quel point le matériel guide la trajectoire à votre place. Libre : vous équilibrez la charge vous-même ; machine : la trajectoire est fixe.
skillAtMostHelp,"Help tooltip on the Skill section of the movement filter sheet, explaining that the choice is a ceiling",How much technique an exercise demands before it can be loaded safely. Choosing Moderate also includes Low.,How much technique an exercise demands before it can be loaded safely. Choosing Moderate also includes Low.,"Сколько техники требует упражнение, прежде чем его можно безопасно нагружать. «Средняя» включает и «низкую».",Cuánta técnica exige un ejercicio antes de poder cargarlo con seguridad. Elegir Moderada también incluye Baja.,Le niveau de technique qu’un exercice exige avant de pouvoir être chargé en toute sécurité. Choisir Modéré inclut aussi Faible.
clearFilters,Button that removes every active movement filter,Clear,Clear,Очистить,Limpiar,Effacer
alsoTry,Substitution section on the exercise About tab,Also try,Also try,Попробуйте также,Prueba también,À essayer aussi
about,Exercise detail tab: overview and technique of the exercise (not about the app),About,About,Описание,Descripción,Description
records,Generic label,Records,Records,Рекорды,Récords,Records
chartWeeklyAverage,"Caption under a chart that is plotting one point per week rather than one per reading. Says what the line is, so a reader does not take a smoothed point for a single reading",Weekly average,Weekly average,Среднее за неделю,Promedio semanal,Moyenne hebdomadaire
chartMonthlyAverage,"As chartWeeklyAverage, one point per calendar month",Monthly average,Monthly average,Среднее за месяц,Promedio mensual,Moyenne mensuelle
chartYearlyAverage,"As chartWeeklyAverage, one point per calendar year",Yearly average,Yearly average,Среднее за год,Promedio anual,Moyenne annuelle
chartRangeMonth,Chip that sets a chart's window to the last month. Abbreviated because four of these sit in a row on a phone; use whatever short form is conventional for a finance or fitness chart in this locale,1M,1M,1М,1M,1M
chartRangeQuarter,"Chip that sets a chart's window to the last three months. Abbreviated, as chartRangeMonth",3M,3M,3М,3M,3M
chartRangeYear,"Chip that sets a chart's window to the last year. Abbreviated, as chartRangeMonth",1Y,1Y,1Г,1A,1A
chartRangeAll,"Chip that sets a chart's window to everything recorded, however far back that goes. Keep it short — it sits beside 1M/3M/1Y",All,All,Всё,Todo,Tout
chartGenericLabel,"Fallback metric name in the history chart accessibility summary, when the chart has no visible title",Chart,Chart,График,Gráfico,Graphique
exerciseChartSummary,"Accessibility summary of a history chart, replacing the plotted line with a sentence",{metric} from {start} to {end}. Latest: {latest}. Trend: {trend}.,{metric} from {start} to {end}. Latest: {latest}. Trend: {trend}.,{metric} с {start} по {end}. Последнее значение: {latest}. Тенденция: {trend}.,{metric} de {start} a {end}. Último valor: {latest}. Tendencia: {trend}.,{metric} du {start} au {end}. Dernière valeur : {latest}. Tendance : {trend}.
exerciseChartTrendUp,"Trend word in the history chart accessibility summary, when the latest value is higher than the earliest shown",Increasing,Increasing,Рост,En aumento,En hausse
exerciseChartTrendDown,"Trend word in the history chart accessibility summary, when the latest value is lower than the earliest shown",Decreasing,Decreasing,Снижение,En descenso,En baisse
exerciseChartTrendFlat,"Trend word in the history chart accessibility summary, when the latest value equals the earliest shown",Flat,Flat,Без изменений,Estable,Stable
healthCardSummary,"Accessibility label for a tappable health card on the dashboard. The card is an InkWell around a label, a number and a sparkline, none of which announce themselves as a control — this is what a screen reader reads instead, so it has to carry the whole card","{metric}, {value}, {when}","{metric}, {value}, {when}","{metric}, {value}, {when}","{metric}, {value}, {when}","{metric}, {value}, {when}"
charts,Generic label,Charts,Charts,Графики,Gráficos,Graphiques
emptyExerciseHistoryTitle,Exercise history empty state,Ghost Reps Detected 👻,Ghost Reps Detected 👻,Обнаружены призрачные повторения 👻,Reps fantasma detectadas 👻,Reps fantômes détectées 👻
emptyExerciseHistoryBody,Exercise history empty state,Your exercise history is emptier than a gym on a Monday morning. Time to fill it up with some glorious PRs!,Your exercise history is emptier than a gym on a Monday morning. Time to fill it up with some glorious PRs!,Ваша история тренировок пуста как спортзал в понедельник утром. Пора заполнить ее личными рекордами!,Tu historial de este ejercicio está más vacío que un gimnasio un lunes por la mañana. ¡Hora de llenarlo con unos PR gloriosos!,Votre historique d’exercices est plus vide qu’une salle de sport un lundi matin. Il est temps de le remplir avec de glorieux records !
errorExerciseHistoryTitle,Exercise history empty state,Oops! Someone Skipped the Data Day 🤷‍♀️,Oops! Someone Skipped the Data Day 🤷‍♀️,Упс! Кто-то пропустил день данных 🤷‍♀️,¡Ups! Alguien se saltó el día de datos 🤷‍♀️,Oups ! Quelqu’un a séché le jour des données 🤷‍♀️
errorExerciseHistoryBody,Exercise history empty state,"Looks like the app tripped over its own shoelaces. Try again, and we promise to tie them tighter next time!","Looks like the app tripped over its own shoelaces. Try again, and we promise to tie them tighter next time!","Похоже, приложение споткнулось о свои шнурки. Попробуйте снова, и мы обещаем завязать их крепче в следующий раз!","Parece que la app se tropezó con sus propios cordones. Inténtalo de nuevo, ¡y prometemos atarlos más fuerte la próxima vez!","On dirait que l’app s’est pris les pieds dans ses lacets. Réessayez, promis, on les serrera mieux la prochaine fois !"
bestSetVolume,Record tile on the exercise records tab: highest weight × reps in a single set,Best set volume,Best set volume,Лучший объём за подход,Mejor volumen por serie,Meilleur volume par série
mostReps,Record tile on the exercise records tab,Most reps,Most reps,Больше всего повторений,Más repeticiones,Plus de répétitions
bestPace,"Record tile on the exercise records tab, cardio exercises",Best pace,Best pace,Лучший темп,Mejor ritmo,Meilleure allure
leastAssistance,"Record tile on the exercise records tab, assisted body-weight exercises: the lightest counterweight used",Least assistance,Least assistance,Наименьшая поддержка,Menor asistencia,Assistance minimale
repMaxes,Title of the records-tab table listing the best weight lifted at each rep count,Rep maxes,Rep maxes,Максимумы по повторениям,Máximos por repeticiones,Maxis par répétitions
repMaxCount,Left column of the rep-maxes table: the rep count the weight was lifted for,"{reps, plural, one{{reps} rep} other{{reps} reps}}","{reps, plural, one{{reps} rep} other{{reps} reps}}","{reps, plural, one{{reps} повторение} few{{reps} повторения} many{{reps} повторений} other{{reps} повторения}}","{reps, plural, one{{reps} rep} other{{reps} reps}}","{reps, plural, one{{reps} rep} other{{reps} reps}}"
allTime,Title of the records-tab section with lifetime totals,All time,All time,За всё время,Histórico,Depuis le début
sessions,Lifetime row on the records tab: how many workouts included this exercise,Sessions,Sessions,Тренировки,Sesiones,Séances
firstPerformed,Lifetime row on the records tab: date of the first session with this exercise,First performed,First performed,Впервые выполнено,Primera vez,Première fois
totalTime,Lifetime row on the records tab,Total time,Total time,Общее время,Tiempo total,Temps total
totalDistance,Lifetime row on the records tab,Total distance,Total distance,Общая дистанция,Distancia total,Distance totale
personalRecords,"Records screen, title",Personal records,Personal records,Личные рекорды,Récords personales,Records personnels
maxDuration,"Records screen, metric name",Max duration,Max duration,Макс. длительность,Duración máxima,Durée max
maxDistance,"Records screen, metric name",Max distance,Max distance,Макс. дистанция,Distancia máxima,Distance max
maxWeight,"Records screen, metric name",Max weight,Max weight,Макс. вес,Peso máximo,Charge max
maxReps,"Records screen, metric name",Max reps,Max reps,Макс. повторений,Reps máximas,Reps max
capturePhoto,Image picker menu,Take a new photo,Take a new photo,Сделать новое фото,Tomar una foto nueva,Prendre une nouvelle photo
chooseFromGallery,Image picker menu,Choose from library,Choose from library,Выбрать из галереи,Elegir de la galería,Choisir dans la galerie
removeCurrentPhoto,Image picker menu,Remove current photo,Remove current photo,Удалить текущее фото,Quitar foto actual,Supprimer la photo actuelle
mine,"Possessive pronoun, as in ""My exercises""",Mine,Mine,Мои,Míos,Les miens
goToWorkout,Label for button that pulls up active workout UI,Go to Workout,Go to Workout,К тренировке,Ir al entrenamiento,Aller à la séance
setTimer,Label for button that adds a rest timer to an exercise,Set timer,Set timer,Установить таймер,Poner temporizador,Régler le minuteur
updateRequiredTitle,"Force update screen, title",Oops. That one’s on us,Oops. That one's on us,Упс! Это наша вина,Ups. Esta es culpa nuestra,Oups. C’est de notre faute
updateRequiredBody,"Force update screen, body","There’s an important update waiting — one that keeps your app working as it should.

You’ll need to install it before continuing.
Thanks for your patience — and sorry for the interruption.","There's an important update waiting — one that keeps your app working as it should.

You'll need to install it before continuing.
Thanks for your patience — and sorry for the interruption.","Доступно важное обновление — оно необходимо для правильной работы приложения.

Вам нужно установить его, чтобы продолжить.
Спасибо за терпение — и извините за прерывание.","Hay una actualización importante esperando — una que mantiene la app funcionando como debe.

Necesitas instalarla antes de continuar.
Gracias por tu paciencia — y perdón por la interrupción.","Une mise à jour importante vous attend — elle garantit le bon fonctionnement de votre app.

Vous devrez l’installer avant de continuer.
Merci de votre patience — et désolé pour l’interruption."
updateRequiredCta,"Force update screen, CTA",Update on the {storeName},Update on the {storeName},Обновить в {storeName},Actualizar en {storeName},Mettre à jour sur {storeName}
addPhoto,Menu item that allows to add photo to a workout,Add photo,Add photo,Добавить фото,Agregar foto,Ajouter une photo
editWorkoutName,Menu item that allows to edit workout name,Edit workout name,Edit workout name,Изменить название тренировки,Editar nombre del entrenamiento,Modifier le nom de la séance
editWorkoutTimes,Menu item that allows editing a workout's start and end times,Edit times,Edit times,Изменить время,Editar horas,Modifier les horaires
adjustTimes,Title of the dialog for editing a workout's start and end times,Adjust Start/End Time,Adjust Start/End Time,Изменить время начала и конца,Ajustar hora de inicio/fin,Ajuster les heures de début/fin
startTime,Label for a workout's start time,Start time,Start time,Время начала,Hora de inicio,Heure de début
endTime,Label for a workout's end time,End time,End time,Время окончания,Hora de fin,Heure de fin
endBeforeStart,Validation shown when a workout's chosen end time precedes its start time,End time can't be before the start time.,End time can't be before the start time.,Время окончания не может быть раньше времени начала.,La hora de fin no puede ser anterior a la de inicio.,L’heure de fin ne peut pas précéder l’heure de début.
cropImage,Label in the image cropper,Crop image,Crop image,Обрезать изображение,Recortar imagen,Recadrer l’image
removePhoto,Menu item that allows to remove photo from a workout,Remove photo,Remove photo,Удалить фото,Quitar foto,Supprimer la photo
aboutExercise,Menu item that opens exercise details,About exercise,About exercise,Об упражнении,Acerca del ejercicio,À propos de l’exercice
myDashboard,Title of the dashboard screen with performance charts,My Dashboard,My Dashboard,Моя панель,Mi panel,Mon tableau de bord
newChart,Button that allows to create a new chart,New chart,New chart,Новый график,Nuevo gráfico,Nouveau graphique
addChartToProfile,"Tooltip on a chart in the exercise detail, adds the chart to the profile dashboard",Add to profile,Add to profile,Добавить в профиль,Agregar al perfil,Ajouter au profil
addToActiveWorkout,Tooltip on the exercise detail page; adds the exercise to the workout in progress,Add to workout,Add to workout,Добавить в тренировку,Agregar al entrenamiento,Ajouter à la séance
exerciseAddedToWorkout,Snackbar confirmation after adding the exercise to the workout in progress,Added to workout,Added to workout,Добавлено в тренировку,Agregado al entrenamiento,Ajouté à la séance
chartAddedToProfile,Snackbar confirmation after adding a chart to the profile dashboard,Added to profile,Added to profile,Добавлено в профиль,Agregado al perfil,Ajouté au profil
removeChartFromProfile,"Tooltip on a chart in the exercise detail, removes the chart from the profile dashboard",Remove from profile,Remove from profile,Убрать из профиля,Quitar del perfil,Retirer du profil
emptyChartStateTitle,Empty state for chart widget,Looks a little empty here,Looks a little empty here,Тут немного пусто,Esto se ve un poco vacío,C’est un peu vide par ici
emptyChartStateBody,Empty state for chart widget,Add your first set to start tracking real progress,Add your first set to start tracking real progress,Добавьте первый подход чтобы начать отслеживать реальный прогресс,Agrega tu primera serie para empezar a ver progreso real,Ajoutez votre première série pour commencer à suivre vos vrais progrès
topSetWeight,"For a given exercise session, the heaviest weight used in any single working set (ignoring warmups if you tag them). Used as a simple strength-progression chart over time.",Top set weight,Top set weight,Вес топового подхода,Peso de la mejor serie,Charge de la meilleure série
estimatedOneRepMax,"An estimated one-repetition maximum calculated from the best set in a workout (weight + reps) using a standard 1RM formula. Displayed as a trend line, not a guaranteed true max.",Estimated 1RM,Estimated 1RM,Расчетный 1ПМ,1RM estimado,1RM estimé
totalVolume,"Total work performed for an exercise in a session or time window, computed as the sum of (weight × reps) across all sets. Useful for tracking training load over time.",Total volume,Total volume,Общий объем,Volumen total,Volume total
averageWorkingWeight,"Average weight used across working sets for an exercise, typically weighted by reps or sets. Helps smooth out noise from a single heavy or light set when charting progress.",Average working weight,Average working weight,Средний рабочий вес,Peso promedio de trabajo,Charge moyenne de travail
assistanceWeight,"For assisted bodyweight exercises, the amount of assistance provided (e.g., machine counterweight or band assistance). Lower values typically indicate progression toward unassisted reps.",Assistance weight,Assistance weight,Вес помощи,Peso de asistencia,Charge d’assistance
maxRepsInSet,Highest number of repetitions completed in any single set for the selected exercise within a workout or time window. Used to track capacity improvements on reps-only movements.,Max reps in a set,Max reps in a set,Макс. повторений в подходе,Máx. de reps en una serie,Reps max sur une série
totalReps,"Total repetitions completed for an exercise within a workout or time window, summed across all sets. Useful for reps-only exercises and high-rep accessory work.",Total reps,Total reps,Всего повторений,Reps totales,Total de reps
cardioDistance,"For cardio exercises, total distance completed in a session (e.g., kilometers or miles depending on user units). Often charted per workout to show endurance progression.",Distance,Distance,Дистанция,Distancia,Distance
cardioDuration,"For cardio exercises, total time spent in the session. Can be charted alone or paired with distance to derive pace when both are available.",Duration,Duration,Длительность,Duración,Durée
averagePace,"For cardio exercises, average pace computed from distance and duration (time per unit distance, e.g., min/km). Only valid when both distance and duration are present and reliable.",Average pace,Average pace,Средний темп,Ritmo promedio,Allure moyenne
totalTimeUnderTension,"For duration-based exercises, total accumulated time across all sets in a session or time window. Used to chart consistency and gradual increases for holds or mobility work.",Total time under tension,Total time under tension,Общее время под нагрузкой,Tiempo total bajo tensión,Temps sous tension total
passwordPolicyTitle,"Title for password requirements section shown during sign-up. Sets a friendly, motivational tone for the password creation rules that follow.",Let's make a password that lifts:,Let's make a password that lifts:,"Давайте создадим пароль, который качает:",Hagamos una contraseña que levante pesado:,Créons un mot de passe qui soulève lourd :
passwordPolicyMinLength,Password requirement: minimum character count. Displayed as a bullet point in the password policy list to inform users of the minimum length constraint.,at least {minLength} characters,at least {minLength} characters,минимум {minLength} символов,al menos {minLength} caracteres,au moins {minLength} caractères
passwordPolicyMaxLength,Password requirement: maximum character count. Displayed as a bullet point in the password policy list with a playful note about reasonable boundaries.,no more than {maxLength} (we believe in limits),no more than {maxLength} (we believe in limits),не больше {maxLength} (мы верим в границы),no más de {maxLength} (creemos en los límites),pas plus de {maxLength} (on croit aux limites)
passwordPolicyUpperCase,Password requirement: must contain at least one uppercase letter (A-Z). Shown as a validation rule in the password policy checklist.,one uppercase letter,one uppercase letter,одна заглавная буква,una letra mayúscula,une lettre majuscule
passwordPolicyLowerCase,Password requirement: must contain at least one lowercase letter (a-z). Shown as a validation rule in the password policy checklist.,one lowercase letter,one lowercase letter,одна строчная буква,una letra minúscula,une lettre minuscule
passwordPolicyDigit,Password requirement: must contain at least one numeric digit (0-9). Displayed as a validation rule in the password policy checklist with casual phrasing.,one number somewhere in there,one number somewhere in there,одна цифра где-нибудь там,un número por ahí,un chiffre quelque part là-dedans
deleteImageDialogTitle,Confirmation dialog title when user attempts to delete an image from a workout,Remove this image?,Remove this image?,Удалить это изображение?,¿Quitar esta imagen?,Supprimer cette image ?
deleteImageDialogBody,Confirmation dialog body explaining that removing the image won't delete workout data,It won't affect the workout — just clears the picture,It won't affect the workout — just clears the picture,Это не повлияет на тренировку — просто удалит фотографию,No afectará el entrenamiento — solo quita la imagen,La séance ne sera pas affectée — seule l’image sera effacée
myProgression,Photo gallery title,My progression,My progression,Мой прогресс,Mi progreso,Ma progression
copiedToClipboard,Snack message when user copies text to clipboard,Copied to clipboard,Copied to clipboard,Скопировано в буфер обмена,Copiado al portapapeles,Copié dans le presse-papiers
weightUnitLabel,Weight unit label,Weight unit,Weight unit,Единица веса,Unidad de peso,Unité de poids
distanceUnitLabel,Distance unit label,Distance unit,Distance unit,Единица расстояния,Unidad de distancia,Unité de distance
close,Tooltip on a button that dismisses a dialog or a detail pane,Close,Close,Закрыть,Cerrar,Fermer
noWorkoutSelectedTitle,Placeholder shown in the detail pane on a tablet when no workout is selected yet,Nothing selected,Nothing selected,Ничего не выбрано,Nada seleccionado,Aucune sélection
noWorkoutSelectedBody,Placeholder shown in the detail pane on a tablet when no workout is selected yet,Pick a workout to see what you did and make changes.,Pick a workout to see what you did and make changes.,"Выберите тренировку, чтобы посмотреть и изменить её.",Elige un entrenamiento para ver lo que hiciste y hacer cambios.,Choisissez une séance pour voir ce que vous avez fait et la modifier.
noExerciseSelectedTitle,Placeholder shown in the detail pane on a tablet when no exercise is selected yet,Nothing selected,Nothing selected,Ничего не выбрано,Nada seleccionado,Aucune sélection
noExerciseSelectedBody,Placeholder shown in the detail pane on a tablet when no exercise is selected yet,"Pick an exercise to see how it's done, plus your history and records.","Pick an exercise to see how it's done, plus your history and records.","Выберите упражнение, чтобы увидеть технику, историю и рекорды.","Elige un ejercicio para ver cómo se hace, junto con tu historial y tus récords.","Choisissez un exercice pour voir comment le faire, ainsi que votre historique et vos records."
moreOptions,Tooltip on an icon-only overflow menu button,More options,More options,Дополнительные действия,Más opciones,Plus d’options
viewProgressPhotos,Tooltip on the icon button that opens a workout's attached progress photos,View progress photos,View progress photos,Просмотреть фото прогресса,Ver fotos de progreso,Voir les photos de progression
confirmEdit,Tooltip on the checkmark button that dismisses the keyboard after editing a name field,Confirm,Confirm,Подтвердить,Confirmar,Confirmer
clearSearchTooltip,Accessibility label on the button that clears a search field's text,Clear search,Clear search,Очистить поиск,Borrar búsqueda,Effacer la recherche
changeProfilePhoto,Accessibility label on the editable avatar shown while editing an account,Change profile photo,Change profile photo,Изменить фото профиля,Cambiar foto de perfil,Changer la photo de profil
viewAccountDetails,"Accessibility label on the profile page header, which opens account management",Account details,Account details,Данные аккаунта,Detalles de la cuenta,Détails du compte
viewProfilePhoto,Accessibility label on the avatar shown in the profile page header,View profile photo,View profile photo,Просмотреть фото профиля,Ver foto de perfil,Voir la photo de profil
durationPickerSetTo,"Accessibility label on a single row of the rest-timer duration picker, tapped to select that duration directly",Set rest timer to {duration},Set rest timer to {duration},Установить таймер отдыха на {duration},Poner el temporizador de descanso en {duration},Régler le minuteur de repos sur {duration}
emptyWorkoutLabel,Accessibility label on the illustration shown when a workout has no exercises,Empty workout,Empty workout,Пустая тренировка,Entrenamiento vacío,Séance vide
progressPhotoLabel,Accessibility label on a progress photo in the gallery,Progress photo from {date},Progress photo from {date},Фото прогресса от {date},Foto de progreso del {date},Photo de progression du {date}
exerciseThumbnailLabel,Accessibility label on an exercise's thumbnail image,{exerciseName} thumbnail,{exerciseName} thumbnail,Миниатюра: {exerciseName},Miniatura de {exerciseName},Vignette de {exerciseName}
goalLadderSummary,"Accessibility summary of a goal's ladder progress bar, replacing the painted rungs with a sentence",{achieved} of {total} targets reached. Current: {current}.,{achieved} of {total} targets reached. Current: {current}.,Достигнуто целей: {achieved} из {total}. Текущее значение: {current}.,{achieved} de {total} objetivos alcanzados. Actual: {current}.,{achieved} cibles atteintes sur {total}. En cours : {current}.
restTimerRemaining,"Accessibility label on the rest-timer countdown ring, stating the remaining time as a sentence",Rest timer: {remaining} remaining,Rest timer: {remaining} remaining,Таймер отдыха: осталось {remaining},Temporizador de descanso: quedan {remaining},Minuteur de repos : il reste {remaining}
health,Header of the health section on the profile dashboard,Health,Health,Здоровье,Salud,Santé
healthActiveEnergy,Name of a health metric: calories burned through activity,Active energy,Active energy,Активные калории,Energía activa,Énergie active
healthBodyMass,Name of a health metric: bodyweight,Body mass,Body mass,Вес,Masa corporal,Poids corporel
healthBpm,"Unit abbreviation, beats per minute. Shown next to a heart rate",bpm,bpm,уд/мин,lpm,bpm
healthChecking,"Shown on the health card while the app is reading the phone's health store, in place of the empty-state message. Mostly seen in the seconds after the user comes back from granting permission, so it must not sound like a result — it is what is happening, not what was found",Looking for new readings…,Looking for new readings…,Ищем новые показатели…,Buscando lecturas nuevas…,Recherche de nouvelles mesures…
